apn
032 209102700
027 084601801
027 083700100
022 034902800
033 219600302
033 211800400
034 227301900
035 237800700
025 067200404
035 235803401
033 214801100
034 225400201
026 074700600
036 243101900
033 215600401
020 010400900
020 020500300
035 236200600
020 015802901
026 077700100
033 215801702
033 213901300
035 236801900
034 -226401202
025 071201902
035 239300100
032 207400500
026 074601500
025 074500100
035 237800300
035 240200801
020 010501400
034 229501302
20020301500
035 236405400
035 238800200
019 008301700
035 238800300
033 212404700
026 075200500
033 212301200
034 227203300
033 219602500
025 073403000
034 225300800
035 237600900
035 239900100
025 073100903
033 213903400
033 215700404
033 215701300
027 085101300
025 074400100
033 213402200
036 241604700
034 225501105
033 211801800
033 211700500
025 072601000
033 215300200
019 008200400
033 220001400
033 212800900
033 213003800
021 029201400
027 088101100
034 225300500
025 071800300
033 216600303
020 015401100
035 238901200
034 226500404
035 235400102
033 211702001
035 240600200
035 239302400
025 071002100
027 083903002
033 213801600
035 237302900
035 237304000
033 213604002
034 227302901
033 211800100
025 073904600
025 073600100
025 073400100
026 078501400
033 215701000
033 213606102
034 230002400
033 211700402
036 247401200
035 236403000
026 074100200
033 216801302
036 241501300
033 213205400
025 066701601
032 208302400
025 073402700
033 212300200
035 239900500
026 077000501
033 213003200
027 084605800
034 229501607
027 084600102
034 230401500
035 238803100
033 213903300
019 008300104
035 236001800
026 074401001
034 227300300
032 204702502
032 204500400
026 079800503
033 213001300
025 067600302
026 074100900
035 239201100
032 208702703
025 071800401
020 010500400
033 215700200
033 219800800
033 211701600
036 242603500
034 225300600
034 228300601
025 073402800
019 008301800
033 213003100
026 078002200
027 087901601
026 074801400
032 209100400
026 077301900
035 236402101
034 225700201
032 204500305
035 236302600
034 226000101
035 235803300
033 214404904
032 204600100
025 074400200
025 073101300
025 071002700
027 084400100
026 081400900
025 071401900
025 068900301
033 219500200
025 073904500
035 236303300
026 076502800
025 066801001
025 069401700
035 238100500
035 240600900
025 073200700
032 209108800
034 227300400
035 237600800
032 210102101
033 217000101
002 009700100
036 241900300
026 082004302
025 067200100
035 238000900
025 072601100
032 207603500
026 073700500
035 239500600
026 076800200
025 071003700
033 212403900
033 214400500
027 088101200
035 236700100
033 215000400
034 234101200
033 213903200
033 211901100
036 247400100
032 210300100
033 220101600
033 213003000
034 226201600
036 242603600
033 212300500
033 219600600
034 226900200
026 082003400
025 067600502
025 069402201
025 074401100
033 212403600
033 212302001
020 015300901
026 078402300
033 219502600
026 075800600
034 226900500
026 077001501
027 083800400
027 084101600
027 083904500
032 209001300
032 211503300
026 074700100
026 079901700
035 237602400
036 247304300
033 225000801
033 211800300
032 208402203
026 078402000
026 078003200
027 084604001
033 219600500
035 239001900
033 212001200
032 210003300
034 234200209
025 068000106
025 072100400
026 075501201
034 225601000
035 235500100
025 073801200
033 213203300
033 219400100
033 225001902
027 088301100
033 215300600
034 225300100
035 236405200
035 238900500
027 084101401
026 077700700
027 084202300
026 076802800
025 067900500
026 076703000
025 074400300
033 217100101
033 219602105
034 227503900
034 228300900
032 204701802
032 210900301
019 009201202
025 073100600
032 204301100
035 235701901
033 214102300
032 210203400
027 087005600
036 247303400
035 237402000
034 229000401
035 238601500
033 219301201
027 084801400
034 225500101
033 212301603
033 219001200
033 219402800
033 219600701
021 025101100
032 210501300
034 230400403
025 071900100
034 227802200
032 208405400
033 215800300
025 071301100
036 241302400
034 229000100
033 213003600
020 010500502
032 208601400
035 237203400
026 074802200
034 228100100
027 087700900
035 238102500
034 227203000
034 227304000
026 082004200
025 073000400
033 219402602
032 207902403
035 239201801
027 084605600
025 069000900
035 237101200
035 236802700
032 208702002
036 242604200
032 209703100
033 219500300
033 214702301
026 078400700
035 239100600
020 010400800
036 247601000
035 238001200
035 236601800
032 209000100
036 242400400
019 009301300
033 213403600
032 208300800
034 225601300
